emosi	emotion
perasaan	feeling
cinta	love
kasih sayang	affection
benci	hatred
marah	anger
kebahagiaan	happiness
kesedihan	sadness
kegembiraan	joy
ketakutan	fear
kecemasan	anxiety
kekhawatiran	worry
harapan	hope
kekecewaan	disappointment
kepuasan	satisfaction
kebanggaan	pride
malu	shame
rasa bersalah	guilt
iri	envy
cemburu	jealousy
pikiran	thought
ide	idea
gagasan	idea
konsep	concept
teori	theory
filosofi	philosophy
logika	logic
alasan	reason
sebab	cause
akibat	effect
tujuan	purpose
makna	meaning
arti	meaning
pentingnya	importance
nilai	value
kualitas	quality
kebenaran	truth
kebohongan	lie
kejujuran	honesty
kepercayaan	trust
keyakinan	belief
iman	faith
agama	religion
spiritualitas	spirituality
moral	morality
etika	ethics
keadilan	justice
kebebasan	freedom
kemerdekaan	independence
perdamaian	peace
perang	war
konflik	conflict
masalah	problem
solusi	solution
kesempatan	opportunity
tantangan	challenge
risiko	risk
bahaya	danger
keamanan	security
keselamatan	safety
kekuatan	strength
kelemahan	weakness
kekuasaan	power
otoritas	authority
tanggung jawab	responsibility
kewajiban	obligation
hak	right
hukum	law
aturan	rule
kebiasaan	habit
tradisi	tradition
budaya	culture
peradaban	civilization
kemajuan	progress
perkembangan	development
perubahan	change
stabilitas	stability
kekacauan	chaos
ketertiban	order
keharmonisan	harmony
keseimbangan	balance
kesatuan	unity
persatuan	union
perbedaan	difference
keragaman	diversity
kesamaan	similarity
hubungan	relationship
komunikasi	communication
informasi	information
pengetahuan	knowledge
kebijaksanaan	wisdom
pengalaman	experience
memori	memory
ingatan	memory
mimpi	dream
harapan	hope
ambisi	ambition
motivasi	motivation
inspirasi	inspiration
kreativitas	creativity
imajinasi	imagination
realitas	reality
fantasi	fantasy
keajaiban	miracle
nasib	fate
takdir	destiny
keberuntungan	luck
kesempatan	chance
